,,Evaluation,,Measurements,,,,Time Drills,,,,,,Jumps,,,,,
Ryan Kelly,IND,2016,Combine,6-4,309,33.67,9.68,5.03,73.8,4.59,62.5,7.58,65.6,,-,103.0,39.4,26.0,65.9
Jimmy Landes,FA,2016,Combine,6-1,245,30.38,9.63,5.00,81.0,4.38,81.3,7.05,93.8,,-,110.0,81.8,,-
Nick Martin,HOU,2016,Combine,6-4,295,32.50,9.75,5.22,40.5,4.72,28.1,7.57,68.8,,-,97.0,12.1,28.0,84.1
Bryan Mattison,FA,2008,Combine,6-3,310,,,5.05,71.4,4.70,31.3,7.61,53.1,24.5,6.3,112.0,87.9,26.0,65.9
Erik McCoy,NO,2019,Combine,6-4,314,33.00,9.63,4.89,92.9,4.62,56.3,8.28,0.0,31.0,75.0,107.0,63.6,29.0,86.4
Connor McGovern,NYJ,2016,Combine,6-4,306,32.88,10.38,5.11,59.5,4.65,46.9,7.50,78.1,,-,109.0,78.8,33.0,95.5
Mitch Morse,BUF,2015,Combine,6-6,305,,,5.14,52.4,4.50,71.9,7.60,56.3,31.0,75.0,112.0,87.9,36.0,100.0
Javon Patterson,FA,2019,Combine,6-3,307,32.50,9.00,5.13,57.1,4.78,12.5,7.72,50.0,27.5,40.6,98.0,18.2,27.0,77.3
Ross Pierschbacher,FA,2019,Combine,6-4,315,32.13,10.00,5.20,45.2,4.70,31.3,7.83,40.6,22.5,0.0,0.0,0.0,20.0,15.9
Danny Pinter,IND,2020,Combine,6-4,306,31.88,9.50,4.91,88.1,4.62,56.3,7.76,46.9,29.5,62.5,110.0,81.8,24.0,52.3
Ethan Pocic,SEA,2017,Pro Day,6-6,320,33.13,10.13,,-,,-,,-,,-,,-,10.0,4.5
Billy Price,CIN,2018,Combine,6-4,310,32.00,9.75,,-,,-,,-,,-,,-,,-
Scott Quessenberry,LAC,2018,Combine,6-3,310,31.75,9.75,5.10,61.9,,-,,-,33.5,93.8,,-,25.0,54.5
Frank Ragnow,DET,2018,Combine,6-5,308,33.13,9.38,,-,,-,,-,,-,,-,26.0,65.9
Weston Richburg,SF,,Combine,6-4,290,33.38,9.25,5.10,61.9,4.63,53.1,7.93,18.8,25.5,15.6,106.0,60.6,25.0,54.5
Chase Roullier,WAS,2017,Combine,6-4,312,32.25,9.50,5.54,4.8,4.47,78.1,7.60,56.3,26.5,28.1,107.0,63.6,19.0,13.6
Coleman Shelton,LAR,2018,Combine,6-5,299,31.50,8.50,5.21,42.9,,-,,-,26.5,28.1,,-,,-
Matt Skura,BAL,2016,Combine,6-3,313,35.25,10.00,5.39,11.9,3.76,100.0,7.89,25.0,,-,103.0,39.4,27.0,77.3
Cole Toner,FA,2016,Combine,6-5,300,33.13,9.75,5.32,26.2,,-,7.88,31.3,,-,103.0,39.4,22.0,36.4
Jon Toth,FA,2017,Combine,6-5,310,33.63,10.00,5.51,7.1,4.84,3.1,8.09,9.4,25.5,15.6,100.0,24.2,21.0,25.0
Max Tuerk,FA,2016,Combine,6-5,298,32.50,10.75,,-,,-,,-,,-,,-,22.0,36.4
Max Unger,FA,,Combine,6-5,305,,,5.35,19.0,4.50,71.9,7.39,87.5,24.5,6.3,93.0,6.1,22.0,36.4
J.D. Walton,FA,,Combine,6-3,305,33.38,9.25,,-,4.69,37.5,7.60,56.3,,-,,-,,-
Darryl Williams,FA,2020,Combine,6-2,304,32.13,9.75,5.23,35.7,4.76,18.8,7.88,31.3,25.5,15.6,102.0,36.4,23.0,43.2
